text,prefix,suffix,startTime,endTime
CHAPTER,, ,0.88,1.1
13,,"

",1.1,1.76
Paul,, ,2.64,2.8
discusses,, ,2.8,3.38
the,, ,3.38,3.52
high,, ,3.52,3.74
status,, ,3.74,4.22
of,, ,4.22,4.52
charity—,,,4.52,5.84
"Charity,",, ,5.84,6.48
a,, ,6.78,6.88
pure,, ,6.88,7.18
"love,",, ,7.18,7.54
excels,, ,7.98,8.38
and,, ,8.38,8.8
exceeds,, ,8.8,9.24
almost,, ,9.24,9.78
all,, ,9.78,10.28
else.,,"

",10.28,10.56
Though,1 , ,11.6,11.74
I,, ,11.74,11.94
speak,, ,11.94,12.28
with,, ,12.28,12.66
the,, ,12.66,12.84
tongues,, ,12.84,13.18
of,, ,13.18,13.44
men,, ,13.46,13.78
and,, ,13.78,14.2
of,, ,14.2,14.34
"angels,",, ,14.34,14.7
and,, ,15.28,15.4
have,, ,15.4,15.58
not,, ,15.58,15.8
"charity,",, ,15.8,16.46
I,, ,17.08,17.22
am,, ,17.22,17.38
become,, ,17.38,17.76
as,, ,17.76,18.08
sounding,, ,18.08,18.52
"brass,",, ,18.52,18.98
or,, ,19.62,19.74
a,, ,19.74,19.88
tinkling,, ,19.88,20.26
cymbal.,,"

",20.26,20.9
And,2 , ,21.56,21.66
though,, ,21.66,21.88
I,, ,21.88,22.12
have,, ,22.12,22.36
the,, ,22.36,22.6
gift,, ,22.6,22.9
of,, ,23.0,23.12
"prophecy,",, ,23.12,23.22
and,, ,24.26,24.4
understand,, ,24.4,24.9
all,, ,24.9,25.32
"mysteries,",, ,25.32,25.74
and,, ,26.26,26.36
all,, ,26.36,26.54
knowledge;,, ,26.54,27.6
and,, ,27.62,27.72
though,, ,27.72,27.92
I,, ,27.92,28.12
have,, ,28.12,28.4
all,, ,28.4,28.7
"faith,",, ,28.7,29.08
so,, ,29.84,29.98
that,, ,30.02,30.18
I,, ,30.18,30.34
could,, ,30.34,30.54
remove,, ,30.54,30.96
"mountains,",, ,30.96,31.44
and,, ,32.06,32.18
have,, ,32.18,32.36
not,, ,32.36,32.64
"charity,",, ,32.64,33.12
I,, ,33.96,34.1
am,, ,34.1,34.26
nothing.,,"

",34.26,34.58
And,3 , ,35.82,35.82
though,, ,35.82,36.0
I,, ,36.0,36.22
bestow,, ,36.22,36.74
all,, ,36.74,37.04
my,, ,37.04,37.28
goods,, ,37.28,37.64
to,, ,37.64,37.98
feed,, ,38.1,38.26
the,, ,38.26,38.5
"poor,",, ,38.5,38.86
and,, ,39.44,39.54
though,, ,39.54,39.76
I,, ,39.76,39.92
give,, ,39.92,40.08
my,, ,40.08,40.3
body,, ,40.3,40.72
to,, ,40.72,40.94
be,, ,40.94,41.12
"burned,",, ,41.12,41.46
and,, ,41.94,42.06
have,, ,42.06,42.28
not,, ,42.28,42.52
"charity,",, ,42.52,43.16
it,, ,43.78,43.86
profiteth,, ,44.02,44.46
me,, ,44.46,44.7
nothing.,,"

",44.7,45.04
Charity,4 , ,45.86,46.26
suffereth,, ,46.26,46.96
"long,",, ,46.96,47.06
and,, ,47.78,47.9
is,, ,47.9,48.06
kind;,, ,48.06,49.1
charity,, ,49.18,49.5
envieth,, ,49.5,50.16
not;,, ,50.16,51.22
charity,, ,51.3,51.7
vaunteth,, ,51.7,52.36
not,, ,52.36,52.58
"itself,",, ,52.58,53.1
is,, ,53.68,53.8
not,, ,53.84,54.04
puffed,, ,54.04,54.54
"up,",,"

",54.54,54.68
Doth,5 , ,55.68,55.82
